                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                0.64084,                0.38389,                 1.0299,                0.97545,                0.96292,                0.97779,                0.82985,                 0.5535,                0.27442,                0.98185,               0.009307,               0.009307,               0.009307
                     72,                0.64902,                0.38837,                 1.0404,                0.95491,                0.97157,                0.97977,                0.83766,                0.54926,                0.27404,                 0.9806,              0.0092971,              0.0092971,              0.0092971
                     73,                0.63945,                0.38966,                   1.03,                 0.9735,                0.97003,                0.98255,                0.83623,                0.54859,                0.27296,                0.98837,              0.0092872,              0.0092872,              0.0092872
                     74,                0.64819,                0.39248,                 1.0408,                0.95952,                0.97276,                0.97986,                0.83225,                0.55357,                0.27457,                0.99419,              0.0092773,              0.0092773,              0.0092773
                     75,                0.64523,                0.39779,                   1.03,                0.96053,                0.96997,                0.97459,                 0.8231,                0.55565,                0.28172,                0.98552,              0.0092674,              0.0092674,              0.0092674
                     76,                 0.6522,                0.39613,                 1.0406,                0.97516,                0.97613,                0.98312,                0.83563,                0.54219,                0.26767,                0.97398,              0.0092575,              0.0092575,              0.0092575
                     77,                0.64646,                0.39601,                 1.0366,                0.96957,                0.96069,                 0.9796,                0.83934,                0.53395,                0.26959,                0.98037,              0.0092476,              0.0092476,              0.0092476
                     78,                0.63616,                0.38607,                 1.0266,                0.97122,                0.96708,                0.98274,                0.84078,                0.54155,                0.27221,                0.98614,              0.0092377,              0.0092377,              0.0092377
                     79,                 0.6436,                0.38989,                 1.0367,                0.96652,                0.97662,                0.98565,                0.84218,                0.54049,                0.27141,                0.98401,              0.0092278,              0.0092278,              0.0092278
                     80,                0.63937,                0.39271,                 1.0351,                0.96636,                0.97874,                0.98391,                0.84481,                0.53842,                0.27181,                0.98813,              0.0092179,              0.0092179,              0.0092179
                     81,                0.63636,                 0.3862,                 1.0304,                0.95866,                0.97904,                 0.9855,                0.84184,                0.53513,                 0.2599,                0.96916,               0.009208,               0.009208,               0.009208
                     82,                0.63245,                0.37996,                 1.0259,                  0.956,                0.98393,                0.98278,                0.83343,                0.54714,                0.26815,                0.98561,              0.0091981,              0.0091981,              0.0091981
                     83,                0.64818,                0.38843,                 1.0357,                0.97935,                0.97881,                0.98639,                0.84765,                0.52731,                0.26806,                0.97657,              0.0091882,              0.0091882,              0.0091882
                     84,                0.61774,                0.37085,                 1.0253,                0.97144,                0.97819,                0.98607,                0.84823,                0.52802,                0.26363,                0.97804,              0.0091783,              0.0091783,              0.0091783
                     85,                0.63383,                0.38359,                 1.0315,                0.98459,                0.95553,                0.98353,                0.84155,                0.54277,                0.26325,                0.98082,              0.0091684,              0.0091684,              0.0091684
                     86,                0.62327,                0.37576,                  1.033,                0.97168,                0.97244,                0.98348,                 0.8409,                0.53368,                0.27406,                0.98499,              0.0091585,              0.0091585,              0.0091585
                     87,                0.62667,                0.37512,                 1.0204,                 0.9787,                0.96836,                0.98407,                0.84878,                0.51844,                0.25719,                0.96344,              0.0091486,              0.0091486,              0.0091486
                     88,                0.62744,                0.37774,                 1.0256,                0.97532,                0.97348,                0.98518,                0.84855,                0.52821,                0.26722,                0.97519,              0.0091387,              0.0091387,              0.0091387
                     89,                0.62163,                0.36489,                 1.0227,                 0.9692,                0.98157,                 0.9868,                0.84403,                0.52867,                0.26121,                 0.9649,              0.0091288,              0.0091288,              0.0091288
                     90,                0.62603,                0.37142,                 1.0157,                0.95247,                0.98993,                0.98344,                0.84458,                 0.5269,                0.26434,                0.97025,              0.0091189,              0.0091189,              0.0091189
                     91,                0.63357,                0.37398,                  1.025,                0.95556,                0.98162,                0.98304,                0.85003,                0.51652,                0.25985,                0.96557,               0.009109,               0.009109,               0.009109
                     92,                0.61948,                0.36432,                 1.0195,                0.97409,                0.98165,                0.98713,                0.84674,                0.51927,                 0.2535,                0.96636,              0.0090991,              0.0090991,              0.0090991
                     93,                0.60827,                0.36575,                 1.0197,                 0.9742,                0.97733,                0.98944,                0.85438,                0.51832,                 0.2503,                0.96818,              0.0090892,              0.0090892,              0.0090892
                     94,                0.62672,                0.37308,                 1.0263,                0.97435,                0.97913,                0.98538,                0.85355,                0.51173,                0.25306,                0.96193,              0.0090793,              0.0090793,              0.0090793
                     95,                0.61592,                0.36316,                 1.0162,                0.97203,                0.97444,                0.98361,                0.85027,                0.52342,                0.24973,                0.96372,              0.0090694,              0.0090694,              0.0090694
                     96,                0.61598,                0.36816,                 1.0149,                0.96961,                0.97738,                0.98569,                0.85209,                0.50921,                0.25011,                0.95693,              0.0090595,              0.0090595,              0.0090595
                     97,                0.61587,                0.36453,                  1.015,                0.97202,                0.97001,                0.98548,                0.85536,                0.51416,                0.25221,                0.96027,              0.0090496,              0.0090496,              0.0090496
                     98,                 0.6082,                0.36481,                 1.0144,                 0.9551,                0.97652,                0.98443,                0.85236,                0.50552,                0.24627,                0.95388,              0.0090397,              0.0090397,              0.0090397
                     99,                0.60631,                0.36092,                 1.0103,                0.96782,                0.98156,                0.98571,                0.85568,                0.51228,                0.24671,                0.96652,              0.0090298,              0.0090298,              0.0090298
